City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lompoc,US,34.6391,-120.4579,68.02,65,0,17.0,clear sky
1,Hobyo,SO,5.3505,48.5268,83.77,80,44,14.27,scattered clouds
2,Chernoyerkovskaya,RU,45.4331,37.7686,53.24,77,73,5.91,broken clouds
3,Busselton,AU,-33.65,115.3333,61.48,87,94,5.08,overcast clouds
4,Ushuaia,AR,-54.8,-68.3,46.06,71,75,4.61,broken clouds
5,Fomboni,KM,-12.28,43.7425,83.46,73,24,9.1,few clouds
6,Dawei,MM,14.0833,98.2,76.69,90,100,2.77,overcast clouds
7,Hobart,AU,-42.8794,147.3294,53.26,81,100,4.61,overcast clouds
8,Hithadhoo,MV,-0.6,73.0833,83.46,71,100,2.91,overcast clouds
9,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,69,40,8.05,scattered clouds
10,Mahon,ES,39.8885,4.2658,59.56,72,0,6.91,clear sky
11,Nouadhibou,MR,20.931,-17.0347,69.78,78,100,14.97,overcast clouds
12,Tiksi,RU,71.6872,128.8694,-3.77,100,100,2.73,overcast clouds
13,Mandalgovi,MN,45.7625,106.2708,44.53,34,0,15.48,clear sky
14,Codo,BR,-4.4553,-43.8856,82.42,89,85,2.04,overcast clouds
15,Belaya Gora,RU,68.5333,146.4167,-3.57,100,100,3.13,overcast clouds
16,Hermanus,ZA,-34.4187,19.2345,61.81,88,3,9.8,clear sky
17,Chachoengsao,TH,13.6167,101.4167,82.92,84,100,2.04,overcast clouds
18,Butaritari,KI,3.0707,172.7902,81.43,75,26,12.37,scattered clouds
19,Mataura,NZ,-46.1927,168.8643,46.63,89,100,3.29,overcast clouds
20,Qaanaaq,GL,77.484,-69.3632,-7.92,80,9,1.68,clear sky
21,Chokurdakh,RU,70.6333,147.9167,-5.98,100,64,4.23,broken clouds
22,Rikitea,PF,-23.1203,-134.9692,78.39,66,6,14.54,clear sky
23,Pierre,US,44.3683,-100.351,48.85,33,0,8.05,clear sky
24,Sovetskaya,RU,44.7769,41.1722,62.73,67,100,7.67,light rain
25,Tuatapere,NZ,-46.1333,167.6833,53.67,87,100,5.61,overcast clouds
26,Katsuura,JP,35.1333,140.3,56.57,87,100,12.57,overcast clouds
27,Shubarshi,KZ,48.5872,57.1869,58.03,46,100,5.39,overcast clouds
28,Bathsheba,BB,13.2167,-59.5167,84.81,65,40,19.57,scattered clouds
29,Hokitika,NZ,-42.7167,170.9667,53.13,71,100,4.83,overcast clouds
30,Nanortalik,GL,60.1432,-45.2371,35.01,74,100,1.99,overcast clouds
31,Katherine,AU,-14.4667,132.2667,73.72,73,48,0.0,scattered clouds
32,Khatanga,RU,71.9667,102.5,0.59,98,95,8.48,overcast clouds
33,Palmer,US,42.1584,-72.3287,59.77,24,75,7.0,broken clouds
34,Ilulissat,GL,69.2167,-51.1,15.82,79,100,12.66,light shower snow
35,Merced,US,37.1666,-120.7516,66.54,40,29,7.07,scattered clouds
36,Tura,IN,25.5198,90.2201,70.61,87,0,4.21,clear sky
37,Norman Wells,CA,65.282,-126.8329,17.64,41,0,9.22,clear sky
38,Avarua,CK,-21.2078,-159.775,73.45,94,100,2.3,overcast clouds
39,Berlevag,NO,70.8578,29.0864,42.6,96,100,26.57,overcast clouds
40,Osakarovka,KZ,50.565,72.5692,41.41,83,100,13.49,overcast clouds
41,Hilo,US,19.7297,-155.09,77.29,91,100,5.75,heavy intensity rain
42,Longyearbyen,SJ,78.2186,15.6401,15.64,73,20,3.44,few clouds
43,San Quintin,MX,30.4833,-115.95,67.77,65,6,19.73,clear sky
44,Saint Anthony,US,45.0205,-93.218,37.24,71,100,23.02,overcast clouds
