City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lompoc,US,68.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
1,Hobyo,SO,83.77,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
2,Chernoyerkovskaya,RU,53.24,broken clouds,45.4331,37.7686,Chernoyerkovskaya
3,Busselton,AU,61.48,overcast clouds,-33.65,115.3333,Observatory Guest House
4,Ushuaia,AR,46.06,broken clouds,-54.8,-68.3,Albatross Hotel
5,Fomboni,KM,83.46,few clouds,-12.28,43.7425,Auberge les abou
6,Dawei,MM,76.69,overcast clouds,14.0833,98.2,Hotel Dawei
7,Hobart,AU,53.26,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
8,Hithadhoo,MV,83.46,overcast clouds,-0.6,73.0833,Scoop Guest House
9,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
10,Mahon,ES,59.56,clear sky,39.8885,4.2658,ARTIEM Capri
11,Nouadhibou,MR,69.78,overcast clouds,20.931,-17.0347,El Medina
13,Mandalgovi,MN,44.53,clear sky,45.7625,106.2708,В.Ганбат
14,Codo,BR,82.42,overcast clouds,-4.4553,-43.8856,Hotel Porto do Sol
16,Hermanus,ZA,61.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
17,Chachoengsao,TH,82.92,overcast clouds,13.6167,101.4167,บ้านเจ๊น้อยห้วยหิน
18,Butaritari,KI,81.43,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
19,Mataura,NZ,46.63,overcast clouds,-46.1927,168.8643,Ellie's Villa
22,Rikitea,PF,78.39,clear sky,-23.1203,-134.9692,People ThankYou
23,Pierre,US,48.85,clear sky,44.3683,-100.351,Ramkota Hotel
25,Tuatapere,NZ,53.67,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
26,Katsuura,JP,56.57,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
28,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
29,Hokitika,NZ,53.13,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
31,Katherine,AU,73.72,scattered clouds,-14.4667,132.2667,Pine Tree Motel
33,Palmer,US,59.77,broken clouds,42.1584,-72.3287,Wedgewood Motel
36,Tura,IN,70.61,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
38,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
39,Berlevag,NO,42.6,overcast clouds,70.8578,29.0864,Kvitbrakka
40,Osakarovka,KZ,41.41,overcast clouds,50.565,72.5692,Motel' Osakarovka
41,Hilo,US,77.29,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
43,San Quintin,MX,67.77,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
45,Ahipara,NZ,65.5,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
47,Kruisfontein,ZA,60.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
48,Kuhdasht,IR,60.55,broken clouds,33.535,47.6061,فروشگاه زنبیل
49,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
50,Vanimo,PG,77.72,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
51,Mumford,GH,78.57,overcast clouds,5.2618,-0.759,Spanish Villa
52,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
55,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
57,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
58,Bahar,IR,46.56,clear sky,34.9072,48.4414,هتل ولفجر
59,Atuona,PF,80.04,overcast clouds,-9.8,-139.0333,Villa Enata
60,Pacific Grove,US,63.39,clear sky,36.6177,-121.9166,Lovers Point Inn
61,Mar Del Plata,AR,64.42,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
63,Quatre Cocos,MU,79.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
